latitude,longitude
2.94652,101.875114
2.9465,101.875112
2.946483,101.875112
2.946455,101.875109
2.946435,101.875106
2.946415,101.875102
2.946385,101.875092
2.946392,101.875101
2.946434,101.875105
2.946443,101.875104
2.94645,101.875108
2.946456,101.875124
2.946448,101.875128
2.946441,101.87514
2.946457,101.875165
2.946471,101.875174
2.946484,101.875182
2.946499,101.875187
2.946515,101.875194
2.946526,101.875202
2.946532,101.875209
2.946546,101.875231
2.946555,101.875245
2.946564,101.87526
2.946568,101.875273
2.946575,101.875285
2.946576,101.875299
2.946572,101.87531
2.946553,101.875331
2.946542,101.875342
2.946531,101.875351
2.946517,101.875359
2.946505,101.875365
2.946495,101.875369
2.94649,101.875374
2.946478,101.875386
2.946469,101.875396
2.946459,101.875407
2.94645,101.875415
2.946435,101.875428
2.946429,101.875436
2.946424,101.875442
2.946411,101.875471
2.946404,101.875486
2.946396,101.875503
2.946389,101.875519
2.946383,101.875534
2.946376,101.875549
2.946368,101.875562
2.946353,101.875584
2.946346,101.875595
2.94634,101.875604
2.946333,101.875613
2.946324,101.875622
2.946314,101.875632
2.946305,101.875642
2.946294,101.875654
2.94629,101.875655
2.946282,101.87566
2.946273,101.875668
2.946267,101.875674
2.946264,101.875675
2.946261,101.875674
2.946248,101.875676
2.946241,101.87568
2.946234,101.875681
2.946224,101.875687
2.94621,101.875694
2.946197,101.875702
2.946182,101.875711
2.946151,101.875733
2.946141,101.875745
2.946133,101.875755
2.946123,101.875763
2.946109,101.875769
2.946096,101.875773
2.946084,101.875778
2.946055,101.875794
2.946041,101.8758
2.946028,101.875805
2.946016,101.875809
2.946002,101.875815
2.945989,101.875819
2.945973,101.875821
2.945939,101.875823
2.94593,101.875823
2.945922,101.875821
2.945909,101.875819
2.945898,101.875816
2.945893,101.875818
2.945891,101.875821
2.945872,101.875832
2.945856,101.875836
2.945838,101.875838
2.945822,101.875837
2.945806,101.875835
2.94579,101.875831
2.945773,101.875829
2.945748,101.875827
2.945749,101.87583
2.945749,101.875829
2.945749,101.875827
2.94575,101.875825
2.945738,101.875818
2.945732,101.875815
2.945724,101.875807
2.945724,101.875806
2.945716,101.875799
2.9457,101.875792
2.945687,101.875789
2.94568,101.875788
2.945673,101.875787
2.945648,101.875768
2.945636,101.875755
2.945625,101.875739
2.945618,101.875725
2.945615,101.875713
2.945613,101.875701
2.945614,101.875685
2.945618,101.875658
2.945619,101.875649
2.945615,101.875639
2.945606,101.875632
2.945599,101.875632
2.945596,101.875639
2.94559,101.875644
2.945584,101.87564
2.945577,101.875628
2.945565,101.875616
2.945549,101.875605
2.945535,101.875595
2.945526,101.875586
2.945517,101.875575
2.945494,101.875554
2.945479,101.875546
2.945462,101.875536
2.945447,101.875523
2.945439,101.875512
2.945431,101.875499
2.945417,101.875474
2.945411,101.875469
2.9454,101.875457
2.945389,101.875445
2.945378,101.875436
2.945364,101.875423
2.945348,101.87541
2.94532,101.875391
2.945312,101.87538
2.945305,101.875367
2.945299,101.875354
2.945292,101.875349
2.945279,101.875341
2.945259,101.875331
2.945226,101.875311
2.945215,101.8753
2.945213,101.875286
2.94521,101.875273
2.945206,101.875259
2.945203,101.875246
2.9452,101.875233
2.945196,101.8752
2.945192,101.875186
2.945188,101.875177
2.94519,101.875171
2.945194,101.875167
2.945198,101.875161
2.9452,101.875155
2.9452,101.875147
2.945203,101.875135
2.945208,101.875123
2.945215,101.875111
2.945222,101.875098
2.945231,101.875085
2.945238,101.875073
2.945248,101.875058
2.945253,101.875047
2.945259,101.875039
2.945264,101.875032
2.945269,101.875026
2.945275,101.87502
2.945281,101.875007
2.945292,101.874973
2.945297,101.874957
2.945303,101.874942
2.945313,101.874927
2.945319,101.87492
2.945325,101.874918
2.945332,101.874917
2.945348,101.874927
2.945359,101.874938
2.945371,101.874955
2.945382,101.874975
2.945394,101.875
2.945405,101.875026
2.945415,101.875064
2.945435,101.875129
2.945455,101.875144
2.945487,101.875155
2.945509,101.875139
2.945603,101.874921
2.945618,101.874893
2.945645,101.874871
2.945869,101.874565
2.945926,101.874542
2.945927,101.874565
2.945891,101.874606
2.94589,101.874566
2.945875,101.874581
2.945899,101.874549
2.945879,101.87454
2.945873,101.874542
2.945875,101.874544
2.945853,101.87456
2.945854,101.874558
2.945858,101.874555
2.945856,101.874553
2.945846,101.874553
2.945846,101.87455
2.945848,101.874547
2.945851,101.874546
2.945853,101.874545
2.945855,101.874543
2.945852,101.874541
2.945851,101.874539
2.945851,101.874546
2.94585,101.874558
2.945847,101.874568
2.945844,101.874574
2.945844,101.874579
2.945845,101.874583
2.945857,101.874591
2.945865,101.87459
2.945875,101.874582
2.945884,101.874574
2.945899,101.874564
2.945918,101.874554
2.945925,101.874552
2.945923,101.87457
2.945923,101.874589
2.945927,101.874605
2.945934,101.874622
2.945943,101.874644
2.945953,101.874677
2.945961,101.874719
2.945976,101.874781
2.945986,101.874804
2.945999,101.874833
2.946012,101.87485
2.946022,101.874859
2.946034,101.874857
2.946043,101.874852
2.946067,101.87485
2.946078,101.874841
2.946085,101.874824
2.946092,101.874809
2.9461,101.874797
2.946109,101.874784
2.946122,101.874779
2.946146,101.874768
2.946152,101.874758
2.946153,101.874745
2.946151,101.874732
2.946151,101.874721
2.946154,101.874713
