DEBUG:root:2.94652N, 101.875114E
DEBUG:root:2.9465N, 101.875112E
DEBUG:root:2.946483N, 101.875112E
DEBUG:root:2.946455N, 101.875109E
DEBUG:root:2.946435N, 101.875106E
DEBUG:root:2.946415N, 101.875102E
DEBUG:root:2.946385N, 101.875092E
DEBUG:root:2.946392N, 101.875101E
DEBUG:root:2.946434N, 101.875105E
DEBUG:root:2.946443N, 101.875104E
DEBUG:root:2.94645N, 101.875108E
DEBUG:root:2.946456N, 101.875124E
DEBUG:root:2.946448N, 101.875128E
DEBUG:root:2.946441N, 101.87514E
DEBUG:root:2.946457N, 101.875165E
DEBUG:root:2.946471N, 101.875174E
DEBUG:root:2.946484N, 101.875182E
DEBUG:root:2.946499N, 101.875187E
DEBUG:root:2.946515N, 101.875194E
DEBUG:root:2.946526N, 101.875202E
DEBUG:root:2.946532N, 101.875209E
DEBUG:root:2.946546N, 101.875231E
DEBUG:root:2.946555N, 101.875245E
DEBUG:root:2.946564N, 101.87526E
DEBUG:root:2.946568N, 101.875273E
DEBUG:root:2.946575N, 101.875285E
DEBUG:root:2.946576N, 101.875299E
DEBUG:root:2.946572N, 101.87531E
DEBUG:root:2.946553N, 101.875331E
DEBUG:root:2.946542N, 101.875342E
DEBUG:root:2.946531N, 101.875351E
DEBUG:root:2.946517N, 101.875359E
DEBUG:root:2.946505N, 101.875365E
DEBUG:root:2.946495N, 101.875369E
DEBUG:root:2.94649N, 101.875374E
DEBUG:root:2.946478N, 101.875386E
DEBUG:root:2.946469N, 101.875396E
DEBUG:root:2.946459N, 101.875407E
DEBUG:root:2.94645N, 101.875415E
DEBUG:root:2.946435N, 101.875428E
DEBUG:root:2.946429N, 101.875436E
DEBUG:root:2.946424N, 101.875442E
DEBUG:root:2.946411N, 101.875471E
DEBUG:root:2.946404N, 101.875486E
DEBUG:root:2.946396N, 101.875503E
DEBUG:root:2.946389N, 101.875519E
DEBUG:root:2.946383N, 101.875534E
DEBUG:root:2.946376N, 101.875549E
DEBUG:root:2.946368N, 101.875562E
DEBUG:root:2.946353N, 101.875584E
DEBUG:root:2.946346N, 101.875595E
DEBUG:root:2.94634N, 101.875604E
DEBUG:root:2.946333N, 101.875613E
DEBUG:root:2.946324N, 101.875622E
DEBUG:root:2.946314N, 101.875632E
DEBUG:root:2.946305N, 101.875642E
DEBUG:root:2.946294N, 101.875654E
DEBUG:root:2.94629N, 101.875655E
DEBUG:root:2.946282N, 101.87566E
DEBUG:root:2.946273N, 101.875668E
DEBUG:root:2.946267N, 101.875674E
DEBUG:root:2.946264N, 101.875675E
DEBUG:root:2.946261N, 101.875674E
DEBUG:root:2.946248N, 101.875676E
DEBUG:root:2.946241N, 101.87568E
DEBUG:root:2.946234N, 101.875681E
DEBUG:root:2.946224N, 101.875687E
DEBUG:root:2.94621N, 101.875694E
DEBUG:root:2.946197N, 101.875702E
DEBUG:root:2.946182N, 101.875711E
DEBUG:root:2.946151N, 101.875733E
DEBUG:root:2.946141N, 101.875745E
DEBUG:root:2.946133N, 101.875755E
DEBUG:root:2.946123N, 101.875763E
DEBUG:root:2.946109N, 101.875769E
DEBUG:root:2.946096N, 101.875773E
DEBUG:root:2.946084N, 101.875778E
DEBUG:root:2.946055N, 101.875794E
DEBUG:root:2.946041N, 101.8758E
DEBUG:root:2.946028N, 101.875805E
DEBUG:root:2.946016N, 101.875809E
DEBUG:root:2.946002N, 101.875815E
DEBUG:root:2.945989N, 101.875819E
DEBUG:root:2.945973N, 101.875821E
DEBUG:root:2.945939N, 101.875823E
DEBUG:root:2.94593N, 101.875823E
DEBUG:root:2.945922N, 101.875821E
DEBUG:root:2.945909N, 101.875819E
DEBUG:root:2.945898N, 101.875816E
DEBUG:root:2.945893N, 101.875818E
DEBUG:root:2.945891N, 101.875821E
DEBUG:root:2.945872N, 101.875832E
DEBUG:root:2.945856N, 101.875836E
DEBUG:root:2.945838N, 101.875838E
DEBUG:root:2.945822N, 101.875837E
DEBUG:root:2.945806N, 101.875835E
DEBUG:root:2.94579N, 101.875831E
DEBUG:root:2.945773N, 101.875829E
DEBUG:root:2.945748N, 101.875827E
DEBUG:root:2.945749N, 101.87583E
DEBUG:root:2.945749N, 101.875829E
DEBUG:root:2.945749N, 101.875827E
DEBUG:root:2.94575N, 101.875825E
DEBUG:root:2.945738N, 101.875818E
DEBUG:root:2.945732N, 101.875815E
DEBUG:root:2.945724N, 101.875807E
DEBUG:root:2.945724N, 101.875806E
DEBUG:root:2.945716N, 101.875799E
DEBUG:root:2.9457N, 101.875792E
DEBUG:root:2.945687N, 101.875789E
DEBUG:root:2.94568N, 101.875788E
DEBUG:root:2.945673N, 101.875787E
DEBUG:root:2.945648N, 101.875768E
DEBUG:root:2.945636N, 101.875755E
DEBUG:root:2.945625N, 101.875739E
DEBUG:root:2.945618N, 101.875725E
DEBUG:root:2.945615N, 101.875713E
DEBUG:root:2.945613N, 101.875701E
DEBUG:root:2.945614N, 101.875685E
DEBUG:root:2.945618N, 101.875658E
DEBUG:root:2.945619N, 101.875649E
DEBUG:root:2.945615N, 101.875639E
DEBUG:root:2.945606N, 101.875632E
DEBUG:root:2.945599N, 101.875632E
DEBUG:root:2.945596N, 101.875639E
DEBUG:root:2.94559N, 101.875644E
DEBUG:root:2.945584N, 101.87564E
DEBUG:root:2.945577N, 101.875628E
DEBUG:root:2.945565N, 101.875616E
DEBUG:root:2.945549N, 101.875605E
DEBUG:root:2.945535N, 101.875595E
DEBUG:root:2.945526N, 101.875586E
DEBUG:root:2.945517N, 101.875575E
DEBUG:root:2.945494N, 101.875554E
DEBUG:root:2.945479N, 101.875546E
DEBUG:root:2.945462N, 101.875536E
DEBUG:root:2.945447N, 101.875523E
DEBUG:root:2.945439N, 101.875512E
DEBUG:root:2.945431N, 101.875499E
DEBUG:root:2.945417N, 101.875474E
DEBUG:root:2.945411N, 101.875469E
DEBUG:root:2.9454N, 101.875457E
DEBUG:root:2.945389N, 101.875445E
DEBUG:root:2.945378N, 101.875436E
DEBUG:root:2.945364N, 101.875423E
DEBUG:root:2.945348N, 101.87541E
DEBUG:root:2.94532N, 101.875391E
DEBUG:root:2.945312N, 101.87538E
DEBUG:root:2.945305N, 101.875367E
DEBUG:root:2.945299N, 101.875354E
DEBUG:root:2.945292N, 101.875349E
DEBUG:root:2.945279N, 101.875341E
DEBUG:root:2.945259N, 101.875331E
DEBUG:root:2.945226N, 101.875311E
DEBUG:root:2.945215N, 101.8753E
DEBUG:root:2.945213N, 101.875286E
DEBUG:root:2.94521N, 101.875273E
DEBUG:root:2.945206N, 101.875259E
DEBUG:root:2.945203N, 101.875246E
DEBUG:root:2.9452N, 101.875233E
DEBUG:root:2.945196N, 101.8752E
DEBUG:root:2.945192N, 101.875186E
DEBUG:root:2.945188N, 101.875177E
DEBUG:root:2.94519N, 101.875171E
DEBUG:root:2.945194N, 101.875167E
DEBUG:root:2.945198N, 101.875161E
DEBUG:root:2.9452N, 101.875155E
DEBUG:root:2.9452N, 101.875147E
DEBUG:root:2.945203N, 101.875135E
DEBUG:root:2.945208N, 101.875123E
DEBUG:root:2.945215N, 101.875111E
DEBUG:root:2.945222N, 101.875098E
DEBUG:root:2.945231N, 101.875085E
DEBUG:root:2.945238N, 101.875073E
DEBUG:root:2.945248N, 101.875058E
DEBUG:root:2.945253N, 101.875047E
DEBUG:root:2.945259N, 101.875039E
DEBUG:root:2.945264N, 101.875032E
DEBUG:root:2.945269N, 101.875026E
DEBUG:root:2.945275N, 101.87502E
DEBUG:root:2.945281N, 101.875007E
DEBUG:root:2.945292N, 101.874973E
DEBUG:root:2.945297N, 101.874957E
DEBUG:root:2.945303N, 101.874942E
DEBUG:root:2.945313N, 101.874927E
DEBUG:root:2.945319N, 101.87492E
DEBUG:root:2.945325N, 101.874918E
DEBUG:root:2.945332N, 101.874917E
DEBUG:root:2.945348N, 101.874927E
DEBUG:root:2.945359N, 101.874938E
DEBUG:root:2.945371N, 101.874955E
DEBUG:root:2.945382N, 101.874975E
