DEBUG:root:[1583131353380];
DEBUG:root:[1583133377252]363;Z:437;V:495;
DEBUG:root:[1583133377258]X:356;Y:364;Z:436;V:363;
DEBUG:root:[1583133377260]X:357;Y:364;Z:438;V:449;
:357;Y:363;Z:438;V:376;
DEBUG:root:[1583133377265]X:357;Y:364;Z:435;V:426;
DEBUG:root:[1583133377267]X:357;Y:363;Z:437;V:495;
DEBUG:root:[1583133377269]X:356;Y:364;Z:436;V:363;
DEBUG:root:[1583133377271]X:357;Y:364;Z:438;V:449;
//0//
DEBUG:root:[1583133378893]X:352;Y:359;Z:432;V:497;
DEBUG:root:[1583133378920]X:353;Y:360;Z:432;V:468;
DEBUG:root:[1583133378946]X:354;Y:360;Z:433;V:279;
DEBUG:root:[1583133378974]X:354;Y:360;Z:434;V:453;
DEBUG:root:[1583133378999]X:354;Y:360;Z:436;V:359;
DEBUG:root:[1583133379027]X:354;Y:360;Z:432;V:381;
DEBUG:root:[1583133379056]X:353;Y:360;Z:432;V:493;
DEBUG:root:[1583133379081]X:354;Y:364;Z:433;V:363;
DEBUG:root:[1583133379109]X:354;Y:361;Z:435;V:419;
DEBUG:root:[1583133379134]X:354;Y:360;Z:433;V:488;
DEBUG:root:[1583133379162]X:353;Y:360;Z:433;V:353;
DEBUG:root:[1583133379191]X:353;Y:360;Z:433;V:449;
DEBUG:root:[1583133379215]X:353;Y:361;Z:433;V:473;
DEBUG:root:[1583133379244]X:355;Y:360;Z:433;V:349;
DEBUG:root:[1583133379269]X:354;Y:360;Z:433;V:469;
DEBUG:root:[1583133379298]X:354;Y:360;Z:432;V:450;
DEBUG:root:[1583133379326]X:353;Y:360;Z:436;V:352;
DEBUG:root:[1583133379351]X:354;Y:360;Z:433;V:489;
DEBUG:root:[1583133379379]X:354;Y:360;Z:436;V:425;
DEBUG:root:[1583133379405]X:356;Y:365;Z:435;V:369;
DEBUG:root:[1583133379432]X:354;Y:360;Z:433;V:500;
DEBUG:root:[1583133379462]X:353;Y:360;Z:434;V:400;
DEBUG:root:[1583133379486]X:353;Y:362;Z:433;V:383;
DEBUG:root:[1583133379515]X:354;Y:360;Z:436;V:505;
DEBUG:root:[1583133379539]X:354;Y:360;Z:432;V:379;
DEBUG:root:[1583133379569]X:354;Y:361;Z:436;V:407;
DEBUG:root:[1583133379596]X:353;Y:360;Z:433;V:498;
DEBUG:root:[1583133379622]X:353;Y:360;Z:433;V:362;
DEBUG:root:[1583133379650]X:355;Y:360;Z:433;V:434;
DEBUG:root:[1583133379675]X:354;Y:360;Z:433;V:485;
DEBUG:root:[1583133379703]X:354;Y:360;Z:433;V:351;
DEBUG:root:[1583133379732]X:354;Y:360;Z:432;V:457;
DEBUG:root:[1583133379756]X:353;Y:361;Z:433;V:467;
DEBUG:root:[1583133379786]X:354;Y:359;Z:434;V:348;
DEBUG:root:[1583133379810]X:354;Y:361;Z:433;V:479;
DEBUG:root:[1583133379839]X:353;Y:360;Z:433;V:440;
DEBUG:root:[1583133379867]X:353;Y:360;Z:433;V:358;
DEBUG:root:[1583133379892]X:353;Y:360;Z:433;V:496;
DEBUG:root:[1583133379920]X:355;Y:360;Z:434;V:414;
DEBUG:root:[1583133379945]X:353;Y:363;Z:433;V:373;
DEBUG:root:[1583133379973]X:354;Y:360;Z:433;V:504;
DEBUG:root:[1583133380002]X:355;Y:360;Z:433;V:392;
DEBUG:root:[1583133380027]X:353;Y:361;Z:432;V:392;
DEBUG:root:[1583133380056]X:358;Y:360;Z:434;V:503;
DEBUG:root:[1583133380080]X:354;Y:361;Z:433;V:373;
DEBUG:root:[1583133380109]X:354;Y:361;Z:434;V:419;
DEBUG:root:[1583133380137]X:354;Y:360;Z:438;V:496;
DEBUG:root:[1583133380163]X:353;Y:360;Z:432;V:358;
DEBUG:root:[1583133380199]X:355;Y:360;Z:433;V:443;
DEBUG:root:[1583133380216]X:354;Y:361;Z:433;V:479;
DEBUG:root:[1583133380244]X:353;Y:360;Z:435;V:350;
DEBUG:root:[1583133380273]X:364;Y:365;Z:434;V:470;
DEBUG:root:[1583133380297]X:356;Y:363;Z:436;V:463;
DEBUG:root:[1583133380326]X:355;Y:363;Z:435;V:355;
DEBUG:root:[1583133380350]X:357;Y:362;Z:434;V:487;
DEBUG:root:[1583133380380]X:354;Y:361;Z:434;V:431;
DEBUG:root:[1583133380408]X:355;Y:362;Z:434;V:366;
DEBUG:root:[1583133380433]X:355;Y:363;Z:434;V:500;
DEBUG:root:[1583133380461]X:355;Y:361;Z:437;V:410;
DEBUG:root:[1583133380486]X:354;Y:363;Z:435;V:383;
DEBUG:root:[1583133380514]X:355;Y:361;Z:434;V:508;
DEBUG:root:[1583133380543]X:354;Y:361;Z:434;V:384;
DEBUG:root:[1583133380567]X:355;Y:361;Z:434;V:405;
DEBUG:root:[1583133380596]X:358;Y:361;Z:436;V:505;
DEBUG:root:[1583133380621]X:354;Y:362;Z:443;V:368;
DEBUG:root:[1583133380650]X:355;Y:361;Z:436;V:432;
DEBUG:root:[1583133380678]X:361;Y:362;Z:433;V:488;
DEBUG:root:[1583133380703]X:354;Y:368;Z:435;V:355;
DEBUG:root:[1583133380731]X:355;Y:364;Z:436;V:455;
DEBUG:root:[1583133380756]X:354;Y:368;Z:436;V:474;
DEBUG:root:[1583133380790]X:361;Y:360;Z:434;V:349;
DEBUG:root:[1583133380814]X:354;Y:361;Z:434;V:482;
DEBUG:root:[1583133380838]X:355;Y:361;Z:432;V:450;
DEBUG:root:[1583133380867]X:359;Y:363;Z:436;V:360;
DEBUG:root:[1583133380891]X:355;Y:363;Z:436;V:492;
DEBUG:root:[1583133380920]X:353;Y:360;Z:433;V:420;
DEBUG:root:[1583133380948]X:353;Y:361;Z:432;V:369;
DEBUG:root:[1583133380972]X:353;Y:363;Z:433;V:501;
DEBUG:root:[1583133381002]X:354;Y:360;Z:435;V:396;
DEBUG:root:[1583133381026]X:353;Y:360;Z:433;V:389;
DEBUG:root:[1583133381055]X:354;Y:360;Z:433;V:505;
DEBUG:root:[1583133381083]X:354;Y:360;Z:433;V:375;
DEBUG:root:[1583133381108]X:353;Y:361;Z:433;V:412;
DEBUG:root:[1583133381136]X:356;Y:360;Z:433;V:494;
DEBUG:root:[1583133381162]X:354;Y:362;Z:433;V:360;
DEBUG:root:[1583133381190]X:353;Y:360;Z:434;V:439;
DEBUG:root:[1583133381219]X:354;Y:360;Z:433;V:480;
DEBUG:root:[1583133381243]X:353;Y:360;Z:434;V:352;
DEBUG:root:[1583133381272]X:354;Y:360;Z:432;V:464;
DEBUG:root:[1583133381297]X:353;Y:362;Z:432;V:460;
DEBUG:root:[1583133381326]X:353;Y:359;Z:433;V:349;
DEBUG:root:[1583133381354]X:354;Y:360;Z:433;V:481;
DEBUG:root:[1583133381379]X:354;Y:362;Z:432;V:432;
DEBUG:root:[1583133381407]X:353;Y:360;Z:436;V:359;
DEBUG:root:[1583133381432]X:354;Y:360;Z:432;V:496;
DEBUG:root:[1583133381460]X:355;Y:360;Z:433;V:409;
DEBUG:root:[1583133381485]X:354;Y:365;Z:434;V:377;
DEBUG:root:[1583133381515]X:353;Y:360;Z:433;V:504;
DEBUG:root:[1583133381543]X:355;Y:360;Z:432;V:385;
DEBUG:root:[1583133381567]X:353;Y:363;Z:435;V:398;
DEBUG:root:[1583133381596]X:357;Y:363;Z:439;V:505;
DEBUG:root:[1583133381620]X:354;Y:360;Z:433;V:370;
DEBUG:root:[1583133381649]X:356;Y:362;Z:433;V:425;
DEBUG:root:[1583133381677]X:353;Y:359;Z:435;V:491;
DEBUG:root:[1583133381703]X:353;Y:360;Z:433;V:357;
DEBUG:root:[1583133381730]X:354;Y:361;Z:433;V:449;
DEBUG:root:[1583133381756]X:353;Y:360;Z:433;V:474;
DEBUG:root:[1583133381784]X:353;Y:359;Z:433;V:350;
DEBUG:root:[1583133381813]X:355;Y:360;Z:432;V:471;
DEBUG:root:[1583133381837]X:353;Y:363;Z:432;V:451;
DEBUG:root:[1583133381866]X:354;Y:360;Z:435;V:353;
DEBUG:root:[1583133381890]X:352;Y:360;Z:432;V:488;
DEBUG:root:[1583133381920]X:353;Y:362;Z:433;V:424;
DEBUG:root:[1583133381947]X:353;Y:361;Z:435;V:366;
DEBUG:root:[1583133381973]X:354;Y:360;Z:432;V:501;
DEBUG:root:[1583133382001]X:354;Y:360;Z:433;V:401;
DEBUG:root:[1583133382026]X:353;Y:360;Z:433;V:384;
DEBUG:root:[1583133382054]X:353;Y:360;Z:433;V:506;
DEBUG:root:[1583133382083]X:355;Y:360;Z:433;V:379;
DEBUG:root:[1583133382107]X:353;Y:362;Z:433;V:407;
DEBUG:root:[1583133382136]X:354;Y:360;Z:434;V:496;
DEBUG:root:[1583133382160]X:353;Y:360;Z:432;V:363;
DEBUG:root:[1583133382190]X:353;Y:360;Z:432;V:434;
DEBUG:root:[1583133382218]X:353;Y:360;Z:435;V:483;
DEBUG:root:[1583133382243]X:353;Y:360;Z:433;V:352;
DEBUG:root:[1583133382271]X:353;Y:360;Z:433;V:458;
DEBUG:root:[1583133382296]X:354;Y:360;Z:432;V:466;
DEBUG:root:[1583133382324]X:353;Y:359;Z:433;V:349;
DEBUG:root:[1583133382353]X:355;Y:360;Z:433;V:477;
DEBUG:root:[1583133382377]X:353;Y:362;Z:433;V:441;
DEBUG:root:[1583133382407]X:353;Y:360;Z:434;V:358;
DEBUG:root:[1583133382431]X:354;Y:360;Z:432;V:495;
DEBUG:root:[1583133382460]X:353;Y:360;Z:432;V:412;
DEBUG:root:[1583133382488]X:354;Y:365;Z:436;V:371;
DEBUG:root:[1583133382513]X:354;Y:360;Z:432;V:504;
DEBUG:root:[1583133382541]X:354;Y:360;Z:433;V:392;
DEBUG:root:[1583133382567]X:353;Y:361;Z:433;V:391;
DEBUG:root:[1583133382595]X:354;Y:360;Z:433;V:504;
DEBUG:root:[1583133382624]X:353;Y:360;Z:433;V:371;
DEBUG:root:[1583133382648]X:353;Y:363;Z:433;V:417;
DEBUG:root:[1583133382677]X:353;Y:359;Z:435;V:493;
DEBUG:root:[1583133382701]X:353;Y:360;Z:433;V:357;
DEBUG:root:[1583133382730]X:353;Y:360;Z:436;V:442;
DEBUG:root:[1583133382758]X:353;Y:360;Z:436;V:477;
DEBUG:root:[1583133382784]X:353;Y:359;Z:433;V:352;
DEBUG:root:[1583133382812]X:354;Y:360;Z:432;V:466;
DEBUG:root:[1583133382837]X:353;Y:363;Z:432;V:457;
DEBUG:root:[1583133382865]X:353;Y:359;Z:433;V:349;
DEBUG:root:[1583133382894]X:355;Y:360;Z:433;V:483;
DEBUG:root:[1583133382918]X:353;Y:362;Z:434;V:431;
DEBUG:root:[1583133382948]X:353;Y:360;Z:435;V:362;
DEBUG:root:[1583133382972]X:354;Y:361;Z:432;V:497;
DEBUG:root:[1583133383001]X:355;Y:362;Z:436;V:408;
DEBUG:root:[1583133383029]X:356;Y:363;Z:435;V:380;
DEBUG:root:[1583133383054]X:354;Y:360;Z:433;V:506;
DEBUG:root:[1583133383082]X:355;Y:360;Z:434;V:386;
DEBUG:root:[1583133383107]X:353;Y:361;Z:433;V:401;
DEBUG:root:[1583133383135]X:354;Y:360;Z:432;V:502;
DEBUG:root:[1583133383164]X:354;Y:360;Z:434;V:367;
DEBUG:root:[1583133383188]X:354;Y:363;Z:433;V:428;
DEBUG:root:[1583133383218]X:353;Y:360;Z:435;V:488;
DEBUG:root:[1583133383242]X:353;Y:359;Z:432;V:355;
DEBUG:root:[1583133383271]X:354;Y:361;Z:433;V:451;
DEBUG:root:[1583133383299]X:353;Y:360;Z:435;V:470;
DEBUG:root:[1583133383324]X:354;Y:359;Z:432;V:349;
DEBUG:root:[1583133383352]X:355;Y:360;Z:433;V:472;
DEBUG:root:[1583133383378]X:353;Y:362;Z:433;V:448;
DEBUG:root:[1583133383405]X:353;Y:360;Z:433;V:355;
